Column1;Column2;Column3;Column4;Column5
00.510.292/0001-02;AUTO POSTO AVENIDA DE LEOPOLDINA LTDA;AVENIDA GETULIO VARGAS,221,CENTRO,LEOPOLDINA,MG,BRAZIL;-21.5358956;-42.63798719999999
01.639.527/0001-23;AUTO POSTO ZAMBRANO LTDA;AVENIDA GETULIO VARGAS,100,CENTRO,LEOPOLDINA,MG,BRAZIL;-21.53478599999999;-42.63812100000001
09.139.617/0001-67;AUTO POSTO CONFIANCA LTDA;AVENIDA JEHU FARIA,40,QUINTA RESIDENCIA,LEOPOLDINA,MG,BRAZIL;-21.53610950000001;-42.650168
22.604.607/0001-13;POSTO ALTO PARANAIBA EIRELI;RUA RAUL SOARES,115,CENTRO,MONTE CARMELO,MG,BRAZIL;-18.72950779999999;-47.49878000000001
09.227.080/0001-97;POSTO KRILL DE MONTE CARMELO LTDA;AVENIDA JOAO PINHEIRO,1187,BOA VISTA,MONTE CARMELO,MG,BRAZIL;-18.7214402;-47.50123439999999
18.159.194/0001-38;POSTO MARAJA LTDA;AVENIDA OLEGARIO MACIEL,848,BATUQUE,MONTE CARMELO,MG,BRAZIL;-18.73703699999999;-47.4997458
55.327.546/0001-43;POSTO MALHACAO LTDA;PRACA LANDULFO CARDOSO NAVES,422,CENTRO,MONTE CARMELO,MG,BRAZIL;-18.72771280000001;-47.50093620000001
30.057.296/0001-48;AUTO POSTO AGUA LIMPA LTDA;AVENIDA XV DE NOVEMBRO,768,BOA VISTA,MONTE CARMELO,MG,BRAZIL;-18.72438199999999;-47.50960800000001
03.742.141/0002-59;MARQUESA AUTO SERVICOS LTDA;AVENIDA GERALDO ATHAYDE,745,ALTO S?ÉO JO?ÉO,MONTES CLAROS,MG,BRAZIL;-16.71485530000001;-43.85596779999999
13.569.064/0036-80;REDE HG COMBUSTIVEIS LTDA.;AVENIDA D COM ANEL RODOVIARIO LESTE,S/N,JARDIM PRIMAVERA,MONTES CLAROS,MG,BRAZIL;-16.69619;-43.80148500000002
22.680.979/0001-29;COMERCIAL SALQUER LIMITADA;AVENIDA GERALDO ATHAYDE,112,CENTRO,MONTES CLAROS,MG,BRAZIL;-16.71792719999998;-43.85948579999999
03.602.658/0001-61;POSTO MARACANA COMERCIO DE COMBUSTIVEIS LTDA.;AVENIDA NOSSA SENHORA DE FATIMA,959,MARACANA,MONTES CLAROS,MG,BRAZIL;-16.75472510000001;-43.86525130000001
13.569.064/0009-07;REDE HG COMBUSTIVEIS LTDA.;AVENIDA DOUTOR MARIO TOURINHO,3244,ALTEROSAS,MONTES CLAROS,MG,BRAZIL;-16.77117809999999;-43.8564362
03.529.503/0001-47;J.J DERIVADOS DE PETROLEO LTDA;AVENIDA CORONEL LUIZ MAIA,560,CINTRA,MONTES CLAROS,MG,BRAZIL;-16.72889979999999;-43.85093910000001
03.083.231/0006-09;CEMA CENTRAL MINEIRA ATACADISTA LTDA;AVENIDA DULCE SARMENTO,1320,VILA NAZARETH,MONTES CLAROS,MG,BRAZIL;-16.7191085;-43.848896
07.259.850/0001-58;POSTO JOAO ALVES LTDA;AVENIDA DAS AMERICAS,50,DOUTOR JOAO ALVES,MONTES CLAROS,MG,BRAZIL;-16.7481929;-43.85381359999999
