id,cnpj,endereco,estado,lat,lon,municipio,nome,cidade,bairro,cep,numero,fonte_coordenada
19585,04.845.671/0001-04,RUA OURINHOS,SP,-23.62371880000001,-46.77677870000002,,BIG BROTHER AUTO POSTO LTDA,TABOAO DA SERRA,PQ.IND.DAS OLIVEIRAS,06765-290,34,MANUAL
15953,21.317.032/0001-95,ESTRADA JOSE GREGORIO (MUNICIPAL),SP,-23.3801363,-47.9222029,,AUTO POSTO PAVAO TATUI LTDA,TATUI,ENXOVIA,18277-709,233,MANUAL
15836,65.406.878/0001-77,RUA VIVE PREF NELSON FIUZA,SP,-23.33360429999998,-47.84763090000001,,AUTO POSTO LUPERCIO DE ALMEIDA LTDA,TATUI,CENTRO,18270-010,21,MANUAL
15810,00.901.372/0001-99,RUA SAO BENTO,SP,-23.3501063,-47.8426526,,BARAO DE TATUI AUTO POSTO LTDA.,TATUI,CENTRO,18270-820,587,Manual
15537,47.818.497/0001-13,RODV SP 127,SP,-23.3455564,-47.8486452,,AUTO POSTO TREVO DE TATUI LTDA,TATUI,JARDIM TOKIO,18270-010,506,Manual
14743,01.925.649/0001-86,RUA CHIQUINHA RODRIGUES,SP,-23.34955189999999,-47.83438989999999,,AUTO POSTO TATUIMAR LTDA,TATUI,VILA DOUTOR LAURINDO,18271-712,21,MANUAL
16680,03.557.367/0001-07,RODOVIA SP 127,SP,-23.33004990000001,-47.8466702,,AUTO POSTO MORRO DE TATUI LTDA,TATUI,GUARDINHA,18270-010,S/N,MANUAL
18806,00.186.497/0001-84,RODOVIA ANTONIO R SCHINCARIOL,SP,-23.3301562,-47.84704349999999,,ROBERTI & ROBERTI AUTO POSTO LTDA.,TATUI,GUARDINHA,18270-010,S/N,MANUAL
17675,00.893.950/0001-92,RUA ISRAEL JOSE DA MOTA,SP,-23.35234889999998,-47.8233612,,AUTO POSTO AMAI CIDADE TERNURA LTDA,TATUI,PARQUE INDUSTRIAL,18272-519,433,MANUAL
18585,45.543.915/0341-67,AVENIDA CHARLES SCHNNEIDER ( BOSQUE FLAMBOYANT ),SP,-23.0242543,-45.5818093,,CARREFOUR COMERCIO E INDUSTRIA LTDA,TAUBATE,BARRANCO,12041-078,1201,Manual
